Temperature_C,Humidity_pct,Wind_Speed_kmh,Spray_Decision,Reason
36.8,47.9,13.9,Not Safe to Spray,High Wind (Drift Hazard)
36.1,71.5,13.6,Not Safe to Spray,High Wind (Drift Hazard)
24.8,84.8,18.0,Not Safe to Spray,High Wind (Drift Hazard)
35.4,53.0,19.7,Not Safe to Spray,High Wind (Drift Hazard)
38.7,48.8,15.0,Not Safe to Spray,High Wind (Drift Hazard)
27.0,42.3,23.9,Not Safe to Spray,High Wind (Drift Hazard)
24.5,67.3,10.2,Safe to Spray,Optimal Conditions
31.5,42.2,8.3,Safe to Spray,Optimal Conditions
24.1,62.2,21.2,Not Safe to Spray,High Wind (Drift Hazard)
20.6,68.7,13.0,Not Safe to Spray,High Wind (Drift Hazard)
23.7,61.2,7.5,Safe to Spray,Optimal Conditions
37.5,73.0,10.0,Not Safe to Spray,High Temp (Evaporation Hazard)
29.7,45.9,17.5,Not Safe to Spray,High Wind (Drift Hazard)
29.3,61.1,6.5,Safe to Spray,Optimal Conditions
35.4,81.7,3.9,Not Safe to Spray,High Temp (Evaporation Hazard)
27.3,45.6,19.5,Not Safe to Spray,High Wind (Drift Hazard)
37.5,61.6,4.8,Not Safe to Spray,High Temp (Evaporation Hazard)
24.4,97.4,24.6,Not Safe to Spray,High Wind (Drift Hazard)
24.5,58.6,4.6,Safe to Spray,Optimal Conditions
20.9,68.0,19.8,Not Safe to Spray,High Wind (Drift Hazard)
38.1,43.3,21.1,Not Safe to Spray,High Wind (Drift Hazard)
23.9,97.8,20.1,Not Safe to Spray,High Wind (Drift Hazard)
22.5,49.0,16.7,Not Safe to Spray,High Wind (Drift Hazard)
32.0,77.1,4.8,Safe to Spray,Optimal Conditions
39.2,54.2,20.4,Not Safe to Spray,High Wind (Drift Hazard)
21.9,74.2,10.8,Safe to Spray,Optimal Conditions
23.4,51.7,18.2,Not Safe to Spray,High Wind (Drift Hazard)
23.6,93.7,7.5,Not Safe to Spray,"Too humid, risk of runoff/dilution"
38.9,92.4,20.9,Not Safe to Spray,High Wind (Drift Hazard)
32.1,49.1,5.6,Safe to Spray,Optimal Conditions
39.2,62.6,7.1,Not Safe to Spray,High Temp (Evaporation Hazard)
29.9,75.5,24.9,Not Safe to Spray,High Wind (Drift Hazard)
28.7,44.8,14.9,Not Safe to Spray,High Wind (Drift Hazard)
23.2,96.6,21.5,Not Safe to Spray,High Wind (Drift Hazard)
29.1,50.7,6.4,Safe to Spray,Optimal Conditions
35.1,65.6,4.7,Not Safe to Spray,High Temp (Evaporation Hazard)
22.8,75.9,3.2,Safe to Spray,Optimal Conditions
29.0,75.8,24.7,Not Safe to Spray,High Wind (Drift Hazard)
21.0,58.2,11.6,Safe to Spray,Optimal Conditions
21.5,85.4,24.4,Not Safe to Spray,High Wind (Drift Hazard)
39.8,74.5,18.3,Not Safe to Spray,High Wind (Drift Hazard)
34.1,54.8,8.1,Not Safe to Spray,High Temp (Evaporation Hazard)
21.8,64.3,18.4,Not Safe to Spray,High Wind (Drift Hazard)
38.9,74.3,2.5,Not Safe to Spray,High Temp (Evaporation Hazard)
35.6,88.9,9.4,Not Safe to Spray,High Temp (Evaporation Hazard)
27.2,74.2,4.2,Safe to Spray,Optimal Conditions
34.0,65.8,4.9,Not Safe to Spray,High Temp (Evaporation Hazard)
21.8,49.8,3.6,Safe to Spray,Optimal Conditions
20.5,60.7,10.7,Safe to Spray,Optimal Conditions
37.2,58.1,10.2,Not Safe to Spray,High Temp (Evaporation Hazard)
27.3,45.8,7.5,Safe to Spray,Optimal Conditions
30.4,81.9,17.6,Not Safe to Spray,High Wind (Drift Hazard)
32.1,83.1,21.3,Not Safe to Spray,High Wind (Drift Hazard)
35.1,41.8,7.8,Not Safe to Spray,High Temp (Evaporation Hazard)
31.9,97.0,19.9,Not Safe to Spray,High Wind (Drift Hazard)
24.5,98.0,2.7,Not Safe to Spray,"Too humid, risk of runoff/dilution"
35.3,68.7,17.1,Not Safe to Spray,High Wind (Drift Hazard)
23.7,43.4,0.3,Safe to Spray,Optimal Conditions
38.0,52.9,3.8,Not Safe to Spray,High Temp (Evaporation Hazard)
29.5,90.0,2.6,Not Safe to Spray,"Too humid, risk of runoff/dilution"
21.7,56.6,22.5,Not Safe to Spray,High Wind (Drift Hazard)
24.1,70.4,14.8,Not Safe to Spray,High Wind (Drift Hazard)
35.8,68.2,6.8,Not Safe to Spray,High Temp (Evaporation Hazard)
30.9,62.1,17.1,Not Safe to Spray,High Wind (Drift Hazard)
22.1,96.1,23.2,Not Safe to Spray,High Wind (Drift Hazard)
27.4,80.7,3.6,Safe to Spray,Optimal Conditions
37.6,71.0,2.1,Not Safe to Spray,High Temp (Evaporation Hazard)
36.1,86.7,5.0,Not Safe to Spray,High Temp (Evaporation Hazard)
39.2,60.7,5.3,Not Safe to Spray,High Temp (Evaporation Hazard)
28.3,91.6,18.1,Not Safe to Spray,High Wind (Drift Hazard)
23.0,53.2,19.8,Not Safe to Spray,High Wind (Drift Hazard)
26.9,98.1,12.8,Not Safe to Spray,High Wind (Drift Hazard)
38.5,54.3,20.4,Not Safe to Spray,High Wind (Drift Hazard)
22.5,42.1,16.9,Not Safe to Spray,High Wind (Drift Hazard)
30.7,66.1,15.5,Not Safe to Spray,High Wind (Drift Hazard)
32.9,67.6,7.3,Safe to Spray,Optimal Conditions
25.5,55.6,14.7,Not Safe to Spray,High Wind (Drift Hazard)
37.1,69.2,22.3,Not Safe to Spray,High Wind (Drift Hazard)
20.2,91.2,23.4,Not Safe to Spray,High Wind (Drift Hazard)
34.7,44.0,2.3,Not Safe to Spray,High Temp (Evaporation Hazard)
25.7,98.9,11.2,Not Safe to Spray,"Too humid, risk of runoff/dilution"
38.5,94.9,17.7,Not Safe to Spray,High Wind (Drift Hazard)
25.9,52.2,3.7,Safe to Spray,Optimal Conditions
24.5,65.2,14.4,Not Safe to Spray,High Wind (Drift Hazard)
37.2,88.7,4.0,Not Safe to Spray,High Temp (Evaporation Hazard)
36.1,41.7,21.6,Not Safe to Spray,High Wind (Drift Hazard)
28.8,66.3,15.9,Not Safe to Spray,High Wind (Drift Hazard)
28.7,52.9,15.3,Not Safe to Spray,High Wind (Drift Hazard)
29.7,62.1,1.1,Safe to Spray,Optimal Conditions
39.8,79.5,8.5,Not Safe to Spray,High Temp (Evaporation Hazard)
39.3,70.5,20.0,Not Safe to Spray,High Wind (Drift Hazard)
34.2,81.5,22.1,Not Safe to Spray,High Wind (Drift Hazard)
27.0,75.0,2.7,Safe to Spray,Optimal Conditions
24.1,82.5,3.1,Safe to Spray,Optimal Conditions
27.5,68.7,8.0,Safe to Spray,Optimal Conditions
29.5,65.4,3.2,Safe to Spray,Optimal Conditions
39.9,79.1,23.0,Not Safe to Spray,High Wind (Drift Hazard)
23.8,44.6,21.8,Not Safe to Spray,High Wind (Drift Hazard)
30.4,54.1,12.9,Not Safe to Spray,High Wind (Drift Hazard)
38.6,49.5,6.0,Not Safe to Spray,High Temp (Evaporation Hazard)
25.7,63.2,2.1,Safe to Spray,Optimal Conditions
32.7,58.1,15.6,Not Safe to Spray,High Wind (Drift Hazard)
38.5,98.0,4.3,Not Safe to Spray,High Temp (Evaporation Hazard)
23.9,43.2,11.0,Safe to Spray,Optimal Conditions
24.8,82.1,4.1,Safe to Spray,Optimal Conditions
29.2,51.5,5.4,Safe to Spray,Optimal Conditions
38.7,58.8,20.5,Not Safe to Spray,High Wind (Drift Hazard)
31.4,47.7,7.2,Safe to Spray,Optimal Conditions
33.5,54.9,3.1,Not Safe to Spray,High Temp (Evaporation Hazard)
36.3,61.3,21.4,Not Safe to Spray,High Wind (Drift Hazard)
34.7,72.0,7.3,Not Safe to Spray,High Temp (Evaporation Hazard)
22.8,49.0,6.6,Safe to Spray,Optimal Conditions
21.8,51.3,21.8,Not Safe to Spray,High Wind (Drift Hazard)
31.0,70.8,0.8,Safe to Spray,Optimal Conditions
34.6,59.2,22.4,Not Safe to Spray,High Wind (Drift Hazard)
30.8,85.0,17.2,Not Safe to Spray,High Wind (Drift Hazard)
30.8,45.6,11.5,Safe to Spray,Optimal Conditions
25.0,87.9,10.5,Not Safe to Spray,"Too humid, risk of runoff/dilution"
31.2,50.6,7.5,Safe to Spray,Optimal Conditions
34.9,53.6,23.3,Not Safe to Spray,High Wind (Drift Hazard)
32.7,94.3,14.3,Not Safe to Spray,High Wind (Drift Hazard)
35.7,77.7,15.5,Not Safe to Spray,High Wind (Drift Hazard)
22.0,47.2,18.5,Not Safe to Spray,High Wind (Drift Hazard)
31.9,53.4,2.0,Safe to Spray,Optimal Conditions
26.3,71.9,11.6,Safe to Spray,Optimal Conditions
31.1,55.8,2.9,Safe to Spray,Optimal Conditions
36.3,90.1,23.1,Not Safe to Spray,High Wind (Drift Hazard)
35.8,86.0,15.2,Not Safe to Spray,High Wind (Drift Hazard)
23.9,75.4,4.7,Safe to Spray,Optimal Conditions
29.6,77.7,4.8,Safe to Spray,Optimal Conditions
27.9,50.6,7.0,Safe to Spray,Optimal Conditions
31.0,90.3,13.1,Not Safe to Spray,High Wind (Drift Hazard)
38.3,63.6,5.7,Not Safe to Spray,High Temp (Evaporation Hazard)
23.6,69.7,19.2,Not Safe to Spray,High Wind (Drift Hazard)
28.0,59.5,5.8,Safe to Spray,Optimal Conditions
20.8,56.7,7.6,Safe to Spray,Optimal Conditions
21.4,49.9,2.1,Safe to Spray,Optimal Conditions
35.4,97.2,2.3,Not Safe to Spray,High Temp (Evaporation Hazard)
30.1,54.8,21.0,Not Safe to Spray,High Wind (Drift Hazard)
29.5,91.7,24.4,Not Safe to Spray,High Wind (Drift Hazard)
35.2,67.8,16.9,Not Safe to Spray,High Wind (Drift Hazard)
31.5,57.9,11.5,Safe to Spray,Optimal Conditions
24.4,88.4,20.6,Not Safe to Spray,High Wind (Drift Hazard)
37.4,73.2,7.5,Not Safe to Spray,High Temp (Evaporation Hazard)
33.7,80.0,24.3,Not Safe to Spray,High Wind (Drift Hazard)
21.6,78.8,20.1,Not Safe to Spray,High Wind (Drift Hazard)
26.2,80.2,13.1,Not Safe to Spray,High Wind (Drift Hazard)
21.8,79.1,23.1,Not Safe to Spray,High Wind (Drift Hazard)
34.0,77.1,20.2,Not Safe to Spray,High Wind (Drift Hazard)
26.6,58.2,9.6,Safe to Spray,Optimal Conditions
34.6,80.7,2.7,Not Safe to Spray,High Temp (Evaporation Hazard)
26.5,80.1,18.2,Not Safe to Spray,High Wind (Drift Hazard)
29.1,61.2,3.2,Safe to Spray,Optimal Conditions
38.2,63.3,5.2,Not Safe to Spray,High Temp (Evaporation Hazard)
35.5,54.8,6.7,Not Safe to Spray,High Temp (Evaporation Hazard)
34.3,92.0,2.0,Not Safe to Spray,High Temp (Evaporation Hazard)
20.3,74.1,21.4,Not Safe to Spray,High Wind (Drift Hazard)
34.6,69.8,9.2,Not Safe to Spray,High Temp (Evaporation Hazard)
38.8,69.2,3.0,Not Safe to Spray,High Temp (Evaporation Hazard)
32.9,83.9,7.7,Safe to Spray,Optimal Conditions
36.2,69.3,0.7,Not Safe to Spray,High Temp (Evaporation Hazard)
26.4,84.9,13.0,Not Safe to Spray,High Wind (Drift Hazard)
21.3,88.6,21.8,Not Safe to Spray,High Wind (Drift Hazard)
30.5,51.0,1.2,Safe to Spray,Optimal Conditions
35.5,45.4,15.4,Not Safe to Spray,High Wind (Drift Hazard)
26.8,79.9,6.0,Safe to Spray,Optimal Conditions
34.7,66.6,20.2,Not Safe to Spray,High Wind (Drift Hazard)
36.1,66.0,8.9,Not Safe to Spray,High Temp (Evaporation Hazard)
23.4,96.0,9.0,Not Safe to Spray,"Too humid, risk of runoff/dilution"
21.2,69.0,14.6,Not Safe to Spray,High Wind (Drift Hazard)
26.8,84.9,14.0,Not Safe to Spray,High Wind (Drift Hazard)
22.8,49.4,22.4,Not Safe to Spray,High Wind (Drift Hazard)
40.0,57.8,22.0,Not Safe to Spray,High Wind (Drift Hazard)
31.9,95.9,24.3,Not Safe to Spray,High Wind (Drift Hazard)
31.9,61.9,11.0,Safe to Spray,Optimal Conditions
31.4,63.0,2.4,Safe to Spray,Optimal Conditions
33.0,52.0,24.5,Not Safe to Spray,High Wind (Drift Hazard)
21.9,82.0,2.8,Safe to Spray,Optimal Conditions
28.2,84.4,18.9,Not Safe to Spray,High Wind (Drift Hazard)
26.5,61.9,4.0,Safe to Spray,Optimal Conditions
35.3,67.8,21.9,Not Safe to Spray,High Wind (Drift Hazard)
20.8,73.3,15.8,Not Safe to Spray,High Wind (Drift Hazard)
27.6,56.5,8.0,Safe to Spray,Optimal Conditions
26.7,75.0,19.1,Not Safe to Spray,High Wind (Drift Hazard)
38.3,57.8,12.5,Not Safe to Spray,High Wind (Drift Hazard)
28.1,97.3,12.9,Not Safe to Spray,High Wind (Drift Hazard)
30.8,59.1,11.9,Safe to Spray,Optimal Conditions
39.3,76.3,4.9,Not Safe to Spray,High Temp (Evaporation Hazard)
32.9,83.6,23.0,Not Safe to Spray,High Wind (Drift Hazard)
39.5,57.2,3.6,Not Safe to Spray,High Temp (Evaporation Hazard)
27.6,50.2,5.8,Safe to Spray,Optimal Conditions
39.7,95.7,10.6,Not Safe to Spray,High Temp (Evaporation Hazard)
27.7,70.8,9.9,Safe to Spray,Optimal Conditions
22.6,66.8,24.0,Not Safe to Spray,High Wind (Drift Hazard)
29.7,84.9,22.5,Not Safe to Spray,High Wind (Drift Hazard)
28.5,59.6,3.8,Safe to Spray,Optimal Conditions
28.1,55.5,15.1,Not Safe to Spray,High Wind (Drift Hazard)
32.5,87.3,0.2,Not Safe to Spray,"Too humid, risk of runoff/dilution"
24.8,85.9,15.5,Not Safe to Spray,High Wind (Drift Hazard)
37.1,76.8,2.6,Not Safe to Spray,High Temp (Evaporation Hazard)
24.3,73.7,3.5,Safe to Spray,Optimal Conditions
30.3,43.9,20.9,Not Safe to Spray,High Wind (Drift Hazard)
20.9,55.1,14.4,Not Safe to Spray,High Wind (Drift Hazard)
33.9,47.2,2.3,Not Safe to Spray,High Temp (Evaporation Hazard)
22.2,96.0,4.6,Not Safe to Spray,"Too humid, risk of runoff/dilution"
38.8,93.7,4.7,Not Safe to Spray,High Temp (Evaporation Hazard)
37.7,67.3,20.6,Not Safe to Spray,High Wind (Drift Hazard)
33.5,87.5,3.4,Not Safe to Spray,High Temp (Evaporation Hazard)
24.4,91.8,23.4,Not Safe to Spray,High Wind (Drift Hazard)
25.0,89.2,8.1,Not Safe to Spray,"Too humid, risk of runoff/dilution"
26.0,86.9,7.9,Not Safe to Spray,"Too humid, risk of runoff/dilution"
38.7,64.7,5.0,Not Safe to Spray,High Temp (Evaporation Hazard)
25.7,95.5,20.3,Not Safe to Spray,High Wind (Drift Hazard)
26.5,98.5,17.5,Not Safe to Spray,High Wind (Drift Hazard)
24.0,50.2,4.4,Safe to Spray,Optimal Conditions
31.6,84.0,22.9,Not Safe to Spray,High Wind (Drift Hazard)
33.8,42.2,14.6,Not Safe to Spray,High Wind (Drift Hazard)
22.5,56.9,9.6,Safe to Spray,Optimal Conditions
30.6,78.2,21.5,Not Safe to Spray,High Wind (Drift Hazard)
26.7,56.4,15.9,Not Safe to Spray,High Wind (Drift Hazard)
23.5,60.9,24.2,Not Safe to Spray,High Wind (Drift Hazard)
36.7,63.9,16.9,Not Safe to Spray,High Wind (Drift Hazard)
26.0,64.7,22.9,Not Safe to Spray,High Wind (Drift Hazard)
28.8,52.9,10.1,Safe to Spray,Optimal Conditions
33.8,55.9,20.2,Not Safe to Spray,High Wind (Drift Hazard)
30.8,75.8,20.9,Not Safe to Spray,High Wind (Drift Hazard)
22.1,40.4,16.6,Not Safe to Spray,High Wind (Drift Hazard)
20.6,83.5,10.0,Safe to Spray,Optimal Conditions
39.2,76.7,15.8,Not Safe to Spray,High Wind (Drift Hazard)
20.9,49.6,24.3,Not Safe to Spray,High Wind (Drift Hazard)
20.7,94.2,20.7,Not Safe to Spray,High Wind (Drift Hazard)
34.5,92.1,16.4,Not Safe to Spray,High Wind (Drift Hazard)
38.9,63.4,5.3,Not Safe to Spray,High Temp (Evaporation Hazard)
24.8,60.1,12.0,Safe to Spray,Optimal Conditions
35.7,97.9,5.2,Not Safe to Spray,High Temp (Evaporation Hazard)
33.4,58.4,1.6,Not Safe to Spray,High Temp (Evaporation Hazard)
33.6,49.6,8.0,Not Safe to Spray,High Temp (Evaporation Hazard)
27.7,64.4,11.6,Safe to Spray,Optimal Conditions
26.1,78.7,0.7,Safe to Spray,Optimal Conditions
26.1,94.1,24.8,Not Safe to Spray,High Wind (Drift Hazard)
22.3,54.5,23.3,Not Safe to Spray,High Wind (Drift Hazard)
29.2,91.8,21.0,Not Safe to Spray,High Wind (Drift Hazard)
20.9,98.0,5.1,Not Safe to Spray,"Too humid, risk of runoff/dilution"
27.2,83.6,22.5,Not Safe to Spray,High Wind (Drift Hazard)
27.7,46.6,1.0,Safe to Spray,Optimal Conditions
37.0,53.6,9.5,Not Safe to Spray,High Temp (Evaporation Hazard)
38.5,58.7,7.2,Not Safe to Spray,High Temp (Evaporation Hazard)
28.8,53.4,9.8,Safe to Spray,Optimal Conditions
33.8,97.7,1.2,Not Safe to Spray,High Temp (Evaporation Hazard)
31.2,92.8,6.1,Not Safe to Spray,"Too humid, risk of runoff/dilution"
32.6,96.3,13.3,Not Safe to Spray,High Wind (Drift Hazard)
27.4,70.1,10.3,Safe to Spray,Optimal Conditions
20.7,56.4,5.7,Safe to Spray,Optimal Conditions
38.5,58.1,23.2,Not Safe to Spray,High Wind (Drift Hazard)
27.3,77.6,15.0,Not Safe to Spray,High Wind (Drift Hazard)
35.2,67.0,18.1,Not Safe to Spray,High Wind (Drift Hazard)
24.3,48.7,11.7,Safe to Spray,Optimal Conditions
38.9,63.0,22.6,Not Safe to Spray,High Wind (Drift Hazard)
38.1,68.2,22.9,Not Safe to Spray,High Wind (Drift Hazard)
20.0,82.9,2.9,Safe to Spray,Optimal Conditions
37.5,78.1,19.1,Not Safe to Spray,High Wind (Drift Hazard)
33.0,53.2,16.5,Not Safe to Spray,High Wind (Drift Hazard)
20.0,65.4,10.1,Safe to Spray,Optimal Conditions
35.7,89.9,2.4,Not Safe to Spray,High Temp (Evaporation Hazard)
32.7,67.7,17.1,Not Safe to Spray,High Wind (Drift Hazard)
22.8,52.1,20.2,Not Safe to Spray,High Wind (Drift Hazard)
38.3,83.2,21.8,Not Safe to Spray,High Wind (Drift Hazard)
34.7,96.2,12.8,Not Safe to Spray,High Wind (Drift Hazard)
32.2,53.4,24.9,Not Safe to Spray,High Wind (Drift Hazard)
35.5,56.3,2.0,Not Safe to Spray,High Temp (Evaporation Hazard)
23.1,69.0,19.9,Not Safe to Spray,High Wind (Drift Hazard)
34.7,69.0,7.7,Not Safe to Spray,High Temp (Evaporation Hazard)
30.1,47.9,18.3,Not Safe to Spray,High Wind (Drift Hazard)
29.3,53.1,17.3,Not Safe to Spray,High Wind (Drift Hazard)
20.1,48.9,23.1,Not Safe to Spray,High Wind (Drift Hazard)
22.6,86.4,3.2,Not Safe to Spray,"Too humid, risk of runoff/dilution"
30.3,59.5,19.3,Not Safe to Spray,High Wind (Drift Hazard)
23.7,73.0,11.0,Safe to Spray,Optimal Conditions
31.3,46.6,14.2,Not Safe to Spray,High Wind (Drift Hazard)
35.9,80.6,9.4,Not Safe to Spray,High Temp (Evaporation Hazard)
33.8,75.7,17.4,Not Safe to Spray,High Wind (Drift Hazard)
23.3,71.9,20.4,Not Safe to Spray,High Wind (Drift Hazard)
38.3,74.0,19.4,Not Safe to Spray,High Wind (Drift Hazard)
27.3,84.6,0.6,Safe to Spray,Optimal Conditions
21.4,41.6,6.3,Safe to Spray,Optimal Conditions
30.9,60.9,15.7,Not Safe to Spray,High Wind (Drift Hazard)
29.9,60.5,20.3,Not Safe to Spray,High Wind (Drift Hazard)
20.7,59.0,21.7,Not Safe to Spray,High Wind (Drift Hazard)
36.5,96.0,7.2,Not Safe to Spray,High Temp (Evaporation Hazard)
28.3,73.9,7.3,Safe to Spray,Optimal Conditions
33.0,97.6,5.1,Not Safe to Spray,"Too humid, risk of runoff/dilution"
24.7,86.3,16.3,Not Safe to Spray,High Wind (Drift Hazard)
28.6,92.5,11.3,Not Safe to Spray,"Too humid, risk of runoff/dilution"
31.1,83.8,4.3,Safe to Spray,Optimal Conditions
26.4,62.4,24.9,Not Safe to Spray,High Wind (Drift Hazard)
33.5,41.7,19.0,Not Safe to Spray,High Wind (Drift Hazard)
31.3,74.9,19.3,Not Safe to Spray,High Wind (Drift Hazard)
33.4,72.2,2.6,Not Safe to Spray,High Temp (Evaporation Hazard)
28.1,72.6,14.2,Not Safe to Spray,High Wind (Drift Hazard)
37.6,53.1,22.9,Not Safe to Spray,High Wind (Drift Hazard)
23.5,44.4,22.9,Not Safe to Spray,High Wind (Drift Hazard)
23.8,92.7,3.8,Not Safe to Spray,"Too humid, risk of runoff/dilution"
38.5,46.4,20.4,Not Safe to Spray,High Wind (Drift Hazard)
21.1,88.6,14.5,Not Safe to Spray,High Wind (Drift Hazard)
27.9,82.0,10.9,Safe to Spray,Optimal Conditions
33.7,74.9,7.7,Not Safe to Spray,High Temp (Evaporation Hazard)
36.3,97.4,17.6,Not Safe to Spray,High Wind (Drift Hazard)
20.3,89.3,10.6,Not Safe to Spray,"Too humid, risk of runoff/dilution"
30.5,82.0,1.5,Safe to Spray,Optimal Conditions
22.1,72.8,15.1,Not Safe to Spray,High Wind (Drift Hazard)
29.6,85.9,2.7,Not Safe to Spray,"Too humid, risk of runoff/dilution"
28.8,52.9,8.5,Safe to Spray,Optimal Conditions
37.9,50.4,1.4,Not Safe to Spray,High Temp (Evaporation Hazard)
33.0,76.4,6.2,Safe to Spray,Optimal Conditions
23.5,64.0,5.2,Safe to Spray,Optimal Conditions
25.6,76.1,11.8,Safe to Spray,Optimal Conditions
21.3,80.7,20.6,Not Safe to Spray,High Wind (Drift Hazard)
33.5,76.3,3.7,Not Safe to Spray,High Temp (Evaporation Hazard)
24.8,85.4,0.9,Not Safe to Spray,"Too humid, risk of runoff/dilution"
27.4,91.8,13.6,Not Safe to Spray,High Wind (Drift Hazard)
36.4,53.2,8.9,Not Safe to Spray,High Temp (Evaporation Hazard)
31.8,94.8,19.4,Not Safe to Spray,High Wind (Drift Hazard)
39.9,59.8,15.6,Not Safe to Spray,High Wind (Drift Hazard)
31.0,40.1,1.6,Safe to Spray,Optimal Conditions
20.8,46.0,20.4,Not Safe to Spray,High Wind (Drift Hazard)
37.0,66.5,11.6,Not Safe to Spray,High Temp (Evaporation Hazard)
21.9,78.8,7.5,Safe to Spray,Optimal Conditions
36.4,60.1,21.2,Not Safe to Spray,High Wind (Drift Hazard)
31.0,69.3,15.9,Not Safe to Spray,High Wind (Drift Hazard)
26.8,50.6,11.3,Safe to Spray,Optimal Conditions
24.7,85.4,9.8,Not Safe to Spray,"Too humid, risk of runoff/dilution"
35.6,90.0,4.2,Not Safe to Spray,High Temp (Evaporation Hazard)
29.6,44.1,15.2,Not Safe to Spray,High Wind (Drift Hazard)
37.3,73.9,12.5,Not Safe to Spray,High Wind (Drift Hazard)
21.1,96.8,16.0,Not Safe to Spray,High Wind (Drift Hazard)
26.4,64.7,3.5,Safe to Spray,Optimal Conditions
24.1,53.2,14.7,Not Safe to Spray,High Wind (Drift Hazard)
38.4,70.5,14.7,Not Safe to Spray,High Wind (Drift Hazard)
33.3,42.3,24.0,Not Safe to Spray,High Wind (Drift Hazard)
28.5,92.9,19.8,Not Safe to Spray,High Wind (Drift Hazard)
31.5,90.6,10.1,Not Safe to Spray,"Too humid, risk of runoff/dilution"
30.0,93.0,14.1,Not Safe to Spray,High Wind (Drift Hazard)
37.0,54.9,18.1,Not Safe to Spray,High Wind (Drift Hazard)
38.1,41.7,5.0,Not Safe to Spray,High Temp (Evaporation Hazard)
31.2,55.5,6.0,Safe to Spray,Optimal Conditions
27.3,50.2,14.3,Not Safe to Spray,High Wind (Drift Hazard)
21.7,75.7,3.4,Safe to Spray,Optimal Conditions
37.8,59.1,24.4,Not Safe to Spray,High Wind (Drift Hazard)
24.0,40.4,12.5,Not Safe to Spray,High Wind (Drift Hazard)
24.1,67.8,0.2,Safe to Spray,Optimal Conditions
37.0,70.0,10.0,Not Safe to Spray,High Temp (Evaporation Hazard)
32.7,81.0,4.2,Safe to Spray,Optimal Conditions
35.4,81.3,6.8,Not Safe to Spray,High Temp (Evaporation Hazard)
30.2,71.8,14.4,Not Safe to Spray,High Wind (Drift Hazard)
31.4,91.5,3.9,Not Safe to Spray,"Too humid, risk of runoff/dilution"
33.5,75.8,6.3,Not Safe to Spray,High Temp (Evaporation Hazard)
35.8,76.6,8.0,Not Safe to Spray,High Temp (Evaporation Hazard)
27.9,96.5,7.4,Not Safe to Spray,"Too humid, risk of runoff/dilution"
22.3,94.5,15.5,Not Safe to Spray,High Wind (Drift Hazard)
22.1,54.7,4.0,Safe to Spray,Optimal Conditions
22.0,94.9,24.7,Not Safe to Spray,High Wind (Drift Hazard)
32.9,47.6,7.8,Safe to Spray,Optimal Conditions
23.4,55.8,2.7,Safe to Spray,Optimal Conditions
24.4,68.1,6.2,Safe to Spray,Optimal Conditions
36.0,41.7,18.1,Not Safe to Spray,High Wind (Drift Hazard)
20.9,61.8,19.6,Not Safe to Spray,High Wind (Drift Hazard)
29.3,87.0,17.5,Not Safe to Spray,High Wind (Drift Hazard)
27.7,76.2,7.1,Safe to Spray,Optimal Conditions
22.6,85.7,4.0,Not Safe to Spray,"Too humid, risk of runoff/dilution"
34.5,72.9,0.4,Not Safe to Spray,High Temp (Evaporation Hazard)
32.7,95.7,17.5,Not Safe to Spray,High Wind (Drift Hazard)
28.7,65.2,21.3,Not Safe to Spray,High Wind (Drift Hazard)
29.2,89.1,21.1,Not Safe to Spray,High Wind (Drift Hazard)
28.0,79.6,15.2,Not Safe to Spray,High Wind (Drift Hazard)
21.4,41.6,2.9,Safe to Spray,Optimal Conditions
38.8,76.6,5.1,Not Safe to Spray,High Temp (Evaporation Hazard)
35.9,48.6,8.7,Not Safe to Spray,High Temp (Evaporation Hazard)
33.1,74.9,21.2,Not Safe to Spray,High Wind (Drift Hazard)
25.9,42.8,20.8,Not Safe to Spray,High Wind (Drift Hazard)
22.2,68.9,2.3,Safe to Spray,Optimal Conditions
35.5,67.7,10.3,Not Safe to Spray,High Temp (Evaporation Hazard)
33.8,60.1,12.8,Not Safe to Spray,High Wind (Drift Hazard)
31.3,55.8,12.9,Not Safe to Spray,High Wind (Drift Hazard)
31.3,52.8,2.7,Safe to Spray,Optimal Conditions
28.8,84.8,10.1,Safe to Spray,Optimal Conditions
36.1,60.2,21.2,Not Safe to Spray,High Wind (Drift Hazard)
35.8,89.4,9.4,Not Safe to Spray,High Temp (Evaporation Hazard)
38.6,41.4,9.5,Not Safe to Spray,High Temp (Evaporation Hazard)
22.4,50.0,19.6,Not Safe to Spray,High Wind (Drift Hazard)
39.8,79.7,3.4,Not Safe to Spray,High Temp (Evaporation Hazard)
25.5,82.0,19.4,Not Safe to Spray,High Wind (Drift Hazard)
37.6,64.0,14.3,Not Safe to Spray,High Wind (Drift Hazard)
36.8,55.5,8.7,Not Safe to Spray,High Temp (Evaporation Hazard)
34.5,44.4,19.9,Not Safe to Spray,High Wind (Drift Hazard)
34.2,68.4,9.4,Not Safe to Spray,High Temp (Evaporation Hazard)
33.7,76.0,2.8,Not Safe to Spray,High Temp (Evaporation Hazard)
38.5,88.4,6.2,Not Safe to Spray,High Temp (Evaporation Hazard)
25.8,98.4,8.6,Not Safe to Spray,"Too humid, risk of runoff/dilution"
25.4,76.3,24.9,Not Safe to Spray,High Wind (Drift Hazard)
30.6,75.3,13.5,Not Safe to Spray,High Wind (Drift Hazard)
